Baseline Average Throughput,ML Average Throughput,Baseline Sticky Events,ML Sticky Events
94.2,91.2,2,0
94.8,93.2,2,0
87.4,84.4,3,0
92.2,92.0,2,0
88.2,90.0,3,0
91.2,89.2,2,0
88.2,86.6,3,0
92.2,92.8,2,0
94.4,85.6,2,0
88.2,90.0,3,0
95.8,88.6,2,0
94.4,91.4,2,0
94.2,87.4,2,0
87.4,92.6,3,0
92.0,87.6,2,0
89.8,86.0,3,0
84.2,90.8,3,0
93.4,93.4,2,0
91.4,88.8,2,0
85.8,94.0,3,0
85.2,87.2,3,0
90.4,88.8,2,0
90.2,87.6,2,0
86.8,91.8,3,0
86.0,85.6,3,0
95.6,94.8,2,0
92.2,85.2,2,0
84.2,86.4,3,0
89.8,84.0,3,0
95.6,91.6,2,0
84.6,93.2,3,0
91.4,93.4,2,0
85.2,89.8,3,0
94.4,91.6,2,0
86.2,94.6,3,0
85.2,92.2,3,0
87.4,85.6,3,0
89.6,94.4,3,0
85.4,91.6,3,0
85.0,92.0,3,0
84.6,90.8,3,0
85.8,89.0,3,0
92.2,85.0,2,0
94.4,92.6,2,0
84.6,95.4,3,0
88.8,87.2,3,0
92.4,92.8,2,0
88.4,84.8,3,0
89.4,91.2,3,0
92.6,91.4,2,0
87.2,95.2,3,0
91.4,85.6,2,0
86.6,85.0,3,0
85.4,94.2,3,0
86.8,87.8,3,0
85.2,89.4,3,0
94.6,85.0,2,0
89.6,86.0,3,0
85.8,84.4,3,0
90.2,94.4,2,0
95.6,88.4,2,0
87.2,88.6,3,0
88.6,86.8,3,0
93.8,91.4,2,0
90.6,86.2,2,0
90.2,87.8,2,0
84.8,95.0,3,0
93.0,94.2,2,0
87.0,85.6,3,0
95.6,85.8,2,0
90.6,87.4,2,0
88.4,93.2,3,0
95.4,93.8,2,0
93.2,94.4,2,0
89.0,93.8,3,0
93.2,87.0,2,0
94.8,92.6,2,0
93.6,90.2,2,0
88.6,92.0,3,0
86.8,88.2,3,0
92.8,92.8,2,0
89.8,87.6,3,0
93.0,95.6,2,0
94.2,89.0,2,0
89.4,93.4,3,0
86.2,91.8,3,0
94.2,95.2,2,0
